,0,1
0,Toronto,Canada
1,Toronto,Canada
2,Mississauga,Canada
3,Brampton,Canada
4,Toronto,Canada
5,Markham,Canada
6,Markham,Canada
7,,
8,Sudbury,Canada
9,Orangeville,Canada
10,Cambridge,Canada
11,Waterloo,Canada
12,Seattle,United States
13,Mississauga,Canada
14,Houston,United States
15,Toronto,Canada
16,Ottawa,Canada
17,Moncton,Canada
18,York,United States
19,Vancouver,Canada
20,Vancouver,Canada
21,San Diego,United States
22,Kitchener,Canada
23,Kitchener,Canada
24,Palo Alto,United States
25,Redwood City,United States
26,Redwood City,United States
27,Foster City,United States
28,Waterloo,Canada
29,Burlington,Canada
30,Burlington,United States
31,Brampton,Canada
32,University,Canada
33,Calgary,Canada
34,Toronto,Canada
35,Woodstock,Canada
36,Toronto,Canada
37,Cambridge,Canada
38,Ontario,Canada
39,Calgary,Canada
40,Ontario,Canada
41,Peterborough,Canada
42,Peterborough,Canada
43,Waterloo,Canada
44,Mississauga,Canada
45,Ontario,Canada
46,,
47,Redmond,United States
48,Central,Singapore
49,Woodbridge,Canada
50,Guelph,Canada
51,,
52,Kitchener,Canada
53,Brampton,Canada
54,Guelph,Canada
55,Ontario,Canada
56,Mississauga,Canada
57,Toronto,Canada
58,Cupertino,United States
59,Chicago,United States
60,Ontario,Canada
61,Mississauga,Canada
62,Alameda,United States
63,Mountain View,United States
64,Mountain View,United States
65,Nakuru,Kenya
66,Manhattan,United States
67,London,United States
68,Ontario,Canada
69,,
70,,
71,Hamilton,Canada
72,Markham,Canada
73,Sunnyvale,United States
74,Ontario,Canada
75,,
76,Waterloo,Canada
77,Cupertino,United States
78,Cupertino,Hong Kong
79,Woodstock,Canada
80,,
81,,
82,Mississauga,Canada
83,Willowdale,Canada
84,Menlo Park,United States
85,Ontario,Canada
86,Cupertino,United States
87,Cuauhtémoc,United States
88,Miami,United States
89,New York,United States
90,San Francisco,Philippines
91,,
92,Menlo Park,United States
93,Menlo Park,United States
94,,
95,,
96,Vaughan,Canada
97,Montréal,Canada
98,Kitchener,Canada
99,Ottawa,Canada
100,Madison Heights,United States
101,Calgary,Canada
102,Ottawa,Canada
103,Sunnyvale,United States
104,Toronto,Canada
105,Etobicoke,Canada
106,Sunnyvale,United States
107,New York,United States
108,Hamilton,Canada
109,Burlington,Canada
110,Halifax,Canada
111,,
112,,
113,Murray,Canada
114,Edmonton,Canada
115,Oakville,Canada
116,Ontario,Canada
117,Waterloo,Canada
118,New Brunswick,Canada
119,Waterloo,Canada
120,,
121,Toronto,Canada
122,Kitchener,Canada
123,Woodstock,Canada
124,Etobicoke,Canada
125,Richmond Hill,Canada
126,Newmarket,Canada
127,Willowdale,Canada
128,New York,United States
129,Woodbridge,Canada
130,Waterloo,Canada
131,Woodbridge,Canada
132,,
133,,
134,Woodbridge,Canada
135,Lagos,Nigeria
136,Lagos,Nigeria
137,Lagos,Nigeria
138,Cambridge,Canada
139,Woodstock,United States
140,Shenzhen,United States
141,Peterborough,Canada
142,Toronto,Canada
143,Menlo Park,United States
144,Redwood City,United States
145,Redwood City,United States
146,Ontario,Canada
147,Burlington,United States
148,Murray,Canada
149,,
150,,
151,,
152,,
153,,
154,Brockville,Canada
155,,
156,Belleville,Canada
157,Toronto,Canada
158,Toronto,Canada
159,Concord,United States
160,North York,Canada
161,Waterloo,Canada
162,Ontario,Canada
163,Newmarket,Canada
164,Cambridge,Canada
165,Ontario,Canada
166,London,Canada
167,London,Canada
168,Missouri,United States
169,Markham,Canada
170,Markham,Canada
171,Scarborough,Canada
172,,
173,,
174,Stratford,Canada
175,Toronto,Canada
176,Seattle,United States
177,Bellevue,United States
178,,
179,,India
180,,United States
181,Santa Isabel,Cuba
182,Oshawa,Canada
183,Bolton,Canada
184,Manchester,Canada
185,,
186,Boston,United States
187,Palo Alto,United States
188,Cambridge,Canada
189,Ottawa,Canada
190,,
191,Vancouver,Canada
192,Fremont,United States
193,Miami Beach,United States
194,Hamilton,Canada
195,,
196,Oakville,Canada
197,Cambridge,Canada
198,Palo Alto,United States
199,Palo Alto,Canada
200,Redmond,United States
201,,
202,Calgary,Canada
203,Brampton,Canada
204,Brampton,Canada
205,,
206,Ontario,Canada
207,Brampton,Canada
208,,
209,Sunnyvale,United States
210,Manchester,United States
211,,
212,Morristown,United States
213,Dublin,Ireland
214,Kitchener,Canada
215,,
216,,
217,Hamilton,Canada
218,Sarnia,Canada
219,Ontario,Canada
220,Chatham,Canada
221,,
222,FRANKFURT AM MAIN,
223,North York,Canada
224,Nederland,Canada
225,,
226,Fremont,United States
227,Ottawa,Canada
228,Kitchener,Canada
229,,
230,Oakville,Canada
231,Edmonton,Canada
232,Stamford,United States
233,Brent,United States
234,Burlington,Canada
235,Woodland Hills,United States
236,,
237,,
238,,
239,Chennai,India
240,Ontario,Canada
241,Newmarket,Canada
242,Ontario,Canada
243,Lethbridge,Canada
244,Ontario,Canada
245,Redmond,United States
246,Bay,United States
247,,
248,,
249,,
250,,
251,Yorkville,Canada
252,Newmarket,Canada
253,London,Canada
254,,
255,Santa Clara,United States
